allowed_for_evaluation,card_path,claim_boundary,clean_prediction,detector,sample_id,transformation,transformed_prediction,validation_level,verdict
True,append_eval/cards/append_overlay/d826b08ea8163ed1727fd41841a62e9a4d7a43125802860cb69df5b23133c290.md,Validated PE-preserving transformation; full behavior preservation is not claimed unless sandbox_execution_status is passed.,malware,byte_histogram_logistic,d826b08ea8163ed1727fd41841a62e9a4d7a43125802860cb69df5b23133c290,append_overlay,malware,2,detector_stable
True,append_eval/cards/append_overlay/d8271f09ac1f19bbee25208b8b4922669738ae8cd7759a1b5952a446de50f6c3.md,Validated PE-preserving transformation; full behavior preservation is not claimed unless sandbox_execution_status is passed.,malware,byte_histogram_logistic,d8271f09ac1f19bbee25208b8b4922669738ae8cd7759a1b5952a446de50f6c3,append_overlay,malware,2,detector_stable
True,append_eval/cards/append_overlay/d8449378c539dcd3ee3abb5d2ae1220f84e324b0b3c37fd430b3d649e225c14f.md,Validated PE-preserving transformation; full behavior preservation is not claimed unless sandbox_execution_status is passed.,benign,byte_histogram_logistic,d8449378c539dcd3ee3abb5d2ae1220f84e324b0b3c37fd430b3d649e225c14f,append_overlay,benign,2,detector_stable
True,append_eval/cards/append_overlay/d8479cee2bc9e788dd5a1cce26afe5a26826e33b0d8574cb8e8186ffe1d105e5.md,Validated PE-preserving transformation; full behavior preservation is not claimed unless sandbox_execution_status is passed.,malware,byte_histogram_logistic,d8479cee2bc9e788dd5a1cce26afe5a26826e33b0d8574cb8e8186ffe1d105e5,append_overlay,malware,2,detector_stable
True,append_eval/cards/append_overlay/d8508337a9f4e68fe9c2057bb82ae4bacfb71da1e458bf0a708c75a19138287a.md,Validated PE-preserving transformation; full behavior preservation is not claimed unless sandbox_execution_status is passed.,malware,byte_histogram_logistic,d8508337a9f4e68fe9c2057bb82ae4bacfb71da1e458bf0a708c75a19138287a,append_overlay,malware,2,detector_stable
True,append_eval/cards/append_overlay/d8527376cf76c986efe7d4697c57f191eedf3cafdeff1e96e9756213435af9a7.md,Validated PE-preserving transformation; full behavior preservation is not claimed unless sandbox_execution_status is passed.,malware,byte_histogram_logistic,d8527376cf76c986efe7d4697c57f191eedf3cafdeff1e96e9756213435af9a7,append_overlay,malware,2,detector_stable
True,append_eval/cards/append_overlay/d8529ceeae099378f20f98031199f13563a1f58c68f3a2e49c629d2354f7c4b8.md,Validated PE-preserving transformation; full behavior preservation is not claimed unless sandbox_execution_status is passed.,malware,byte_histogram_logistic,d8529ceeae099378f20f98031199f13563a1f58c68f3a2e49c629d2354f7c4b8,append_overlay,malware,2,detector_stable
True,append_eval/cards/append_overlay/d857c0fbdd8a72a79d123fd6bc493fb7be3fe25abe90dbfbb4b4cd47a11d24ca.md,Validated PE-preserving transformation; full behavior preservation is not claimed unless sandbox_execution_status is passed.,malware,byte_histogram_logistic,d857c0fbdd8a72a79d123fd6bc493fb7be3fe25abe90dbfbb4b4cd47a11d24ca,append_overlay,malware,2,detector_stable
True,append_eval/cards/append_overlay/d858cc0217fcb9acd4172a06e9f814c964e8bb3802ed1b1cd2c86de52fb10c04.md,Validated PE-preserving transformation; full behavior preservation is not claimed unless sandbox_execution_status is passed.,malware,byte_histogram_logistic,d858cc0217fcb9acd4172a06e9f814c964e8bb3802ed1b1cd2c86de52fb10c04,append_overlay,malware,2,detector_stable
True,append_eval/cards/append_overlay/d8604d026ec167ef7e3b5bd6a3060838e88111071d714a7365025a2e74c1758d.md,Validated PE-preserving transformation; full behavior preservation is not claimed unless sandbox_execution_status is passed.,malware,byte_histogram_logistic,d8604d026ec167ef7e3b5bd6a3060838e88111071d714a7365025a2e74c1758d,append_overlay,malware,2,detector_stable
True,append_eval/cards/append_overlay/d866d27b67fd351b513973971697cbdc0f986743371448883e0c5e64c85609e4.md,Validated PE-preserving transformation; full behavior preservation is not claimed unless sandbox_execution_status is passed.,malware,byte_histogram_logistic,d866d27b67fd351b513973971697cbdc0f986743371448883e0c5e64c85609e4,append_overlay,malware,2,detector_stable
True,append_eval/cards/append_overlay/d869ca8e232515d65980566c119318fb19efe4191bc505e3facad323a15498fb.md,Validated PE-preserving transformation; full behavior preservation is not claimed unless sandbox_execution_status is passed.,malware,byte_histogram_logistic,d869ca8e232515d65980566c119318fb19efe4191bc505e3facad323a15498fb,append_overlay,malware,2,detector_stable
True,append_eval/cards/append_overlay/d86ba0c8c6bc5607006652e5864616f8c2b4dab619f668df773959f6129c38de.md,Validated PE-preserving transformation; full behavior preservation is not claimed unless sandbox_execution_status is passed.,malware,byte_histogram_logistic,d86ba0c8c6bc5607006652e5864616f8c2b4dab619f668df773959f6129c38de,append_overlay,malware,2,detector_stable
True,append_eval/cards/append_overlay/d86c380226c718da6f6ee61be9cb0de10c3fc081bd02ec6bca74917239ab71bb.md,Validated PE-preserving transformation; full behavior preservation is not claimed unless sandbox_execution_status is passed.,malware,byte_histogram_logistic,d86c380226c718da6f6ee61be9cb0de10c3fc081bd02ec6bca74917239ab71bb,append_overlay,malware,2,detector_stable
True,append_eval/cards/append_overlay/d870b9a5e01b067112638e3a6f7583566fb42b0b78b35a74495a262802e0ab6c.md,Validated PE-preserving transformation; full behavior preservation is not claimed unless sandbox_execution_status is passed.,malware,byte_histogram_logistic,d870b9a5e01b067112638e3a6f7583566fb42b0b78b35a74495a262802e0ab6c,append_overlay,malware,2,detector_stable
True,append_eval/cards/append_overlay/d87154119db97c073fe9df5962a5f1eba506c32fddbca8d10c0010939c6386e2.md,Validated PE-preserving transformation; full behavior preservation is not claimed unless sandbox_execution_status is passed.,malware,byte_histogram_logistic,d87154119db97c073fe9df5962a5f1eba506c32fddbca8d10c0010939c6386e2,append_overlay,malware,2,detector_stable
True,append_eval/cards/append_overlay/d873d2532f429b3598d5c47a16648a68b1298991277df00bb1601dea1ae7ff73.md,Validated PE-preserving transformation; full behavior preservation is not claimed unless sandbox_execution_status is passed.,malware,byte_histogram_logistic,d873d2532f429b3598d5c47a16648a68b1298991277df00bb1601dea1ae7ff73,append_overlay,malware,2,detector_stable
True,append_eval/cards/append_overlay/d878992fe48766c2d2e03fcd103b8805a702b07d20adfd94581523ff838e45b0.md,Validated PE-preserving transformation; full behavior preservation is not claimed unless sandbox_execution_status is passed.,benign,byte_histogram_logistic,d878992fe48766c2d2e03fcd103b8805a702b07d20adfd94581523ff838e45b0,append_overlay,benign,2,detector_stable
True,append_eval/cards/append_overlay/d882b2295ac30c40dc5dfb399b864427304eeee3ea596cd86a5ceeb367a38c51.md,Validated PE-preserving transformation; full behavior preservation is not claimed unless sandbox_execution_status is passed.,malware,byte_histogram_logistic,d882b2295ac30c40dc5dfb399b864427304eeee3ea596cd86a5ceeb367a38c51,append_overlay,malware,2,detector_stable
True,append_eval/cards/append_overlay/d88753ad46df37a30b679fa5c89e5d4927b01ac49845bbaf9282f9311e639330.md,Validated PE-preserving transformation; full behavior preservation is not claimed unless sandbox_execution_status is passed.,malware,byte_histogram_logistic,d88753ad46df37a30b679fa5c89e5d4927b01ac49845bbaf9282f9311e639330,append_overlay,malware,2,detector_stable
True,append_eval/cards/append_overlay/d88875ea22181f17f52d2ae27428d641b00103010739d5cbbf9ff6f3961d76ca.md,Validated PE-preserving transformation; full behavior preservation is not claimed unless sandbox_execution_status is passed.,malware,byte_histogram_logistic,d88875ea22181f17f52d2ae27428d641b00103010739d5cbbf9ff6f3961d76ca,append_overlay,malware,2,detector_stable
True,append_eval/cards/append_overlay/d88916d9b40ece9bbcbbcd166ddaf76c9fbb7499736ba6f2261f7a7cc07ad0d9.md,Validated PE-preserving transformation; full behavior preservation is not claimed unless sandbox_execution_status is passed.,malware,byte_histogram_logistic,d88916d9b40ece9bbcbbcd166ddaf76c9fbb7499736ba6f2261f7a7cc07ad0d9,append_overlay,malware,2,detector_stable
True,append_eval/cards/append_overlay/d889aa776b67de0daebe36c6c824812b58053bf28d6fd9eb8c752b004115c847.md,Validated PE-preserving transformation; full behavior preservation is not claimed unless sandbox_execution_status is passed.,benign,byte_histogram_logistic,d889aa776b67de0daebe36c6c824812b58053bf28d6fd9eb8c752b004115c847,append_overlay,benign,2,detector_stable
True,append_eval/cards/append_overlay/d88a77c26f696dd9b72c07dfdf2fc286df383ef3815146dda845dca1b02fca79.md,Validated PE-preserving transformation; full behavior preservation is not claimed unless sandbox_execution_status is passed.,benign,byte_histogram_logistic,d88a77c26f696dd9b72c07dfdf2fc286df383ef3815146dda845dca1b02fca79,append_overlay,benign,2,detector_stable
True,append_eval/cards/append_overlay/d88d27575f1291e9d199ae1563fcf6c972baa9c5b47d30c4f67be61e98411b79.md,Validated PE-preserving transformation; full behavior preservation is not claimed unless sandbox_execution_status is passed.,malware,byte_histogram_logistic,d88d27575f1291e9d199ae1563fcf6c972baa9c5b47d30c4f67be61e98411b79,append_overlay,malware,2,detector_stable
True,append_eval/cards/append_overlay/d88e35b232e7e05f41ea56a176068ef7511c7dc64eed97ae03c7f5f47e414a2c.md,Validated PE-preserving transformation; full behavior preservation is not claimed unless sandbox_execution_status is passed.,malware,byte_histogram_logistic,d88e35b232e7e05f41ea56a176068ef7511c7dc64eed97ae03c7f5f47e414a2c,append_overlay,malware,2,detector_stable
True,append_eval/cards/append_overlay/d8927d711e25bba0e80f60a6df61eb1e79ca9f5d0009bf16f71b16b814885fb8.md,Validated PE-preserving transformation; full behavior preservation is not claimed unless sandbox_execution_status is passed.,malware,byte_histogram_logistic,d8927d711e25bba0e80f60a6df61eb1e79ca9f5d0009bf16f71b16b814885fb8,append_overlay,malware,2,detector_stable
True,append_eval/cards/append_overlay/d89b7743a1151fb3a84102ad6a452ef30fec8c4333ecf2de82efc65e91233585.md,Validated PE-preserving transformation; full behavior preservation is not claimed unless sandbox_execution_status is passed.,malware,byte_histogram_logistic,d89b7743a1151fb3a84102ad6a452ef30fec8c4333ecf2de82efc65e91233585,append_overlay,malware,2,detector_stable
True,append_eval/cards/append_overlay/d89da7883ccddea08c5276d1ccf462d582271fed70c97f42b37d507824db4342.md,Validated PE-preserving transformation; full behavior preservation is not claimed unless sandbox_execution_status is passed.,malware,byte_histogram_logistic,d89da7883ccddea08c5276d1ccf462d582271fed70c97f42b37d507824db4342,append_overlay,malware,2,detector_stable
True,append_eval/cards/append_overlay/d8a2ac886c21b8f6592336b90089bbbe68fd673253fba02fc9a5bbb8b5075f59.md,Validated PE-preserving transformation; full behavior preservation is not claimed unless sandbox_execution_status is passed.,malware,byte_histogram_logistic,d8a2ac886c21b8f6592336b90089bbbe68fd673253fba02fc9a5bbb8b5075f59,append_overlay,malware,2,detector_stable
True,append_eval/cards/append_overlay/d8b0d1f879065690409af058d719b16b48d9f0b3b44f4082c1b0fd3157c7b16f.md,Validated PE-preserving transformation; full behavior preservation is not claimed unless sandbox_execution_status is passed.,malware,byte_histogram_logistic,d8b0d1f879065690409af058d719b16b48d9f0b3b44f4082c1b0fd3157c7b16f,append_overlay,malware,2,detector_stable
True,append_eval/cards/append_overlay/d8b69d56e6bc8fff06a9bc203f0fb8378d73dbd57ef7b0a99d135ddfc1f87f38.md,Validated PE-preserving transformation; full behavior preservation is not claimed unless sandbox_execution_status is passed.,malware,byte_histogram_logistic,d8b69d56e6bc8fff06a9bc203f0fb8378d73dbd57ef7b0a99d135ddfc1f87f38,append_overlay,malware,2,detector_stable
True,append_eval/cards/append_overlay/d8baa6419d5cadd36f2966c5498f18a2179e8ea0ca520589cf3a2a379cd5ccbf.md,Validated PE-preserving transformation; full behavior preservation is not claimed unless sandbox_execution_status is passed.,malware,byte_histogram_logistic,d8baa6419d5cadd36f2966c5498f18a2179e8ea0ca520589cf3a2a379cd5ccbf,append_overlay,malware,2,detector_stable
True,append_eval/cards/append_overlay/d8bfd7107ff7e7e639c5415c1226aded54d362600b00e4134b3d7b5f89319e9f.md,Validated PE-preserving transformation; full behavior preservation is not claimed unless sandbox_execution_status is passed.,malware,byte_histogram_logistic,d8bfd7107ff7e7e639c5415c1226aded54d362600b00e4134b3d7b5f89319e9f,append_overlay,malware,2,detector_stable
True,append_eval/cards/append_overlay/d8d31715c5e08214662737169d7af577b57fcbb225b2374d8bbd388fb6c0ae31.md,Validated PE-preserving transformation; full behavior preservation is not claimed unless sandbox_execution_status is passed.,malware,byte_histogram_logistic,d8d31715c5e08214662737169d7af577b57fcbb225b2374d8bbd388fb6c0ae31,append_overlay,malware,2,detector_stable
True,append_eval/cards/append_overlay/d8dc7e2bcad028201c40153b403d805a9f0b9c5840ff7aae5b36bee6664bcad2.md,Validated PE-preserving transformation; full behavior preservation is not claimed unless sandbox_execution_status is passed.,malware,byte_histogram_logistic,d8dc7e2bcad028201c40153b403d805a9f0b9c5840ff7aae5b36bee6664bcad2,append_overlay,malware,2,detector_stable
True,append_eval/cards/append_overlay/d8ddde8a1ddecaeecdc59c3d9542e43cd16a2c8afa3fa5b8dce5dfc4e26b547f.md,Validated PE-preserving transformation; full behavior preservation is not claimed unless sandbox_execution_status is passed.,malware,byte_histogram_logistic,d8ddde8a1ddecaeecdc59c3d9542e43cd16a2c8afa3fa5b8dce5dfc4e26b547f,append_overlay,malware,2,detector_stable
True,append_eval/cards/append_overlay/d8e956fe51a2c7363917fd70400a2b23ea35da19263d057a948082b7ba5e8744.md,Validated PE-preserving transformation; full behavior preservation is not claimed unless sandbox_execution_status is passed.,malware,byte_histogram_logistic,d8e956fe51a2c7363917fd70400a2b23ea35da19263d057a948082b7ba5e8744,append_overlay,malware,2,detector_stable
True,append_eval/cards/append_overlay/d8f18e8d19c09d2b26446814651c70f9e828b172d13e255f3a4ca82eb79a91ca.md,Validated PE-preserving transformation; full behavior preservation is not claimed unless sandbox_execution_status is passed.,malware,byte_histogram_logistic,d8f18e8d19c09d2b26446814651c70f9e828b172d13e255f3a4ca82eb79a91ca,append_overlay,malware,2,detector_stable
True,append_eval/cards/append_overlay/d8f8af5b9fa261e8fd32b42995fd7d0ec117845ad011eac0435555ecdfd2ede8.md,Validated PE-preserving transformation; full behavior preservation is not claimed unless sandbox_execution_status is passed.,malware,byte_histogram_logistic,d8f8af5b9fa261e8fd32b42995fd7d0ec117845ad011eac0435555ecdfd2ede8,append_overlay,malware,2,detector_stable
True,append_eval/cards/append_overlay/d8fab8e00f1a77288294c6fe2788b39365525d9a6c1643834260c04f06160387.md,Validated PE-preserving transformation; full behavior preservation is not claimed unless sandbox_execution_status is passed.,malware,byte_histogram_logistic,d8fab8e00f1a77288294c6fe2788b39365525d9a6c1643834260c04f06160387,append_overlay,malware,2,detector_stable
True,append_eval/cards/append_overlay/d91236ce2b4b2cb00e5333c3191f67222ae5cd8f009d3757398535c43c7c1bf0.md,Validated PE-preserving transformation; full behavior preservation is not claimed unless sandbox_execution_status is passed.,malware,byte_histogram_logistic,d91236ce2b4b2cb00e5333c3191f67222ae5cd8f009d3757398535c43c7c1bf0,append_overlay,malware,2,detector_stable
True,append_eval/cards/append_overlay/d914af1fc09f6b1738a3ce4d9d5709399277302d18aa86e9d1fea2b9dbb713c0.md,Validated PE-preserving transformation; full behavior preservation is not claimed unless sandbox_execution_status is passed.,malware,byte_histogram_logistic,d914af1fc09f6b1738a3ce4d9d5709399277302d18aa86e9d1fea2b9dbb713c0,append_overlay,malware,2,detector_stable
True,append_eval/cards/append_overlay/d91dd8900ca572c8e3963668f3489377316b1953f75b2282fbfe352be716d5ac.md,Validated PE-preserving transformation; full behavior preservation is not claimed unless sandbox_execution_status is passed.,malware,byte_histogram_logistic,d91dd8900ca572c8e3963668f3489377316b1953f75b2282fbfe352be716d5ac,append_overlay,malware,2,detector_stable
True,append_eval/cards/append_overlay/d925b0d5ed7856bb3c11bea971239a1a2bd003e2a605a0cafbb4d30bdb1a7b9b.md,Validated PE-preserving transformation; full behavior preservation is not claimed unless sandbox_execution_status is passed.,malware,byte_histogram_logistic,d925b0d5ed7856bb3c11bea971239a1a2bd003e2a605a0cafbb4d30bdb1a7b9b,append_overlay,malware,2,detector_stable
True,append_eval/cards/append_overlay/d93c97c76158e04ede4b1b883e6f6b3b380cd58bcea9d59d32f9a40bd9517bb3.md,Validated PE-preserving transformation; full behavior preservation is not claimed unless sandbox_execution_status is passed.,malware,byte_histogram_logistic,d93c97c76158e04ede4b1b883e6f6b3b380cd58bcea9d59d32f9a40bd9517bb3,append_overlay,malware,2,detector_stable
True,append_eval/cards/append_overlay/d93c9be39df3127a5a56c0304085b7a6e1815894be6d49310a424be43c37d6d2.md,Validated PE-preserving transformation; full behavior preservation is not claimed unless sandbox_execution_status is passed.,malware,byte_histogram_logistic,d93c9be39df3127a5a56c0304085b7a6e1815894be6d49310a424be43c37d6d2,append_overlay,malware,2,detector_stable
True,append_eval/cards/append_overlay/d93e054aeea9b79f984c7308b5ba0bfb4ab18a60991b1a659f5f496cac36b879.md,Validated PE-preserving transformation; full behavior preservation is not claimed unless sandbox_execution_status is passed.,malware,byte_histogram_logistic,d93e054aeea9b79f984c7308b5ba0bfb4ab18a60991b1a659f5f496cac36b879,append_overlay,malware,2,detector_stable
True,append_eval/cards/append_overlay/d946dbcfc8c597205097928b6e565ad38d980486a2cb484bc4867b84250ed3b4.md,Validated PE-preserving transformation; full behavior preservation is not claimed unless sandbox_execution_status is passed.,malware,byte_histogram_logistic,d946dbcfc8c597205097928b6e565ad38d980486a2cb484bc4867b84250ed3b4,append_overlay,malware,2,detector_stable
True,append_eval/cards/append_overlay/d94e5cbd225cdcac349284a5bdc303d2e7f5ce3818798437c3294780e03bc1e6.md,Validated PE-preserving transformation; full behavior preservation is not claimed unless sandbox_execution_status is passed.,malware,byte_histogram_logistic,d94e5cbd225cdcac349284a5bdc303d2e7f5ce3818798437c3294780e03bc1e6,append_overlay,malware,2,detector_stable
True,append_eval/cards/append_overlay/d952077da047a2d74aaf2db1ae2dbd00e9edd2e356583bce3cccdf983564eb85.md,Validated PE-preserving transformation; full behavior preservation is not claimed unless sandbox_execution_status is passed.,malware,byte_histogram_logistic,d952077da047a2d74aaf2db1ae2dbd00e9edd2e356583bce3cccdf983564eb85,append_overlay,malware,2,detector_stable
True,append_eval/cards/append_overlay/d9521170a783ec1bba1f001c8cf7de61093e259b6ac42b9f206dac3c99147172.md,Validated PE-preserving transformation; full behavior preservation is not claimed unless sandbox_execution_status is passed.,malware,byte_histogram_logistic,d9521170a783ec1bba1f001c8cf7de61093e259b6ac42b9f206dac3c99147172,append_overlay,malware,2,detector_stable
True,append_eval/cards/append_overlay/d957453af29a90b4bc73b28c052ba16af8cfd52e898d409591a47e5f384560b8.md,Validated PE-preserving transformation; full behavior preservation is not claimed unless sandbox_execution_status is passed.,malware,byte_histogram_logistic,d957453af29a90b4bc73b28c052ba16af8cfd52e898d409591a47e5f384560b8,append_overlay,malware,2,detector_stable
True,append_eval/cards/append_overlay/d95753ec8aa7da87cd519e3c77d16da579815cc53c564a77192f65c4a01c043d.md,Validated PE-preserving transformation; full behavior preservation is not claimed unless sandbox_execution_status is passed.,benign,byte_histogram_logistic,d95753ec8aa7da87cd519e3c77d16da579815cc53c564a77192f65c4a01c043d,append_overlay,benign,2,detector_stable
True,append_eval/cards/append_overlay/d95e44f01bbf42861c9e59e4e94926b4b1b0cfbf650359e906fcd44dba432bd3.md,Validated PE-preserving transformation; full behavior preservation is not claimed unless sandbox_execution_status is passed.,malware,byte_histogram_logistic,d95e44f01bbf42861c9e59e4e94926b4b1b0cfbf650359e906fcd44dba432bd3,append_overlay,malware,2,detector_stable
True,append_eval/cards/append_overlay/d9640c5e31f9c5ac5a8479c6f479de1c32e59e9da3d67922d9b32cc17d6169c8.md,Validated PE-preserving transformation; full behavior preservation is not claimed unless sandbox_execution_status is passed.,malware,byte_histogram_logistic,d9640c5e31f9c5ac5a8479c6f479de1c32e59e9da3d67922d9b32cc17d6169c8,append_overlay,malware,2,detector_stable
True,append_eval/cards/append_overlay/d96421a53f45d77c34ca352bca92a4dd28c6e63e0221d1c15fdfaef557faced0.md,Validated PE-preserving transformation; full behavior preservation is not claimed unless sandbox_execution_status is passed.,malware,byte_histogram_logistic,d96421a53f45d77c34ca352bca92a4dd28c6e63e0221d1c15fdfaef557faced0,append_overlay,malware,2,detector_stable
True,append_eval/cards/append_overlay/d96ab7c981a07a41bf7af451aa0c0ef505c9c004128914d0bad9556c14358bdb.md,Validated PE-preserving transformation; full behavior preservation is not claimed unless sandbox_execution_status is passed.,malware,byte_histogram_logistic,d96ab7c981a07a41bf7af451aa0c0ef505c9c004128914d0bad9556c14358bdb,append_overlay,malware,2,detector_stable
True,append_eval/cards/append_overlay/d96cd6f8855cf9e59d796e178637a72eea63bf5d30aaab4e070490240278f3af.md,Validated PE-preserving transformation; full behavior preservation is not claimed unless sandbox_execution_status is passed.,benign,byte_histogram_logistic,d96cd6f8855cf9e59d796e178637a72eea63bf5d30aaab4e070490240278f3af,append_overlay,benign,2,detector_stable
True,append_eval/cards/append_overlay/d96d3bdb1c92ad326074ab33b56210999c11ea3ec5b7bea6b2450c7746b109e1.md,Validated PE-preserving transformation; full behavior preservation is not claimed unless sandbox_execution_status is passed.,malware,byte_histogram_logistic,d96d3bdb1c92ad326074ab33b56210999c11ea3ec5b7bea6b2450c7746b109e1,append_overlay,malware,2,detector_stable
True,append_eval/cards/append_overlay/d973ce2f1261b81483b3cf6ccf561e64d4d1a1281da5b3610aba4df2deeddb66.md,Validated PE-preserving transformation; full behavior preservation is not claimed unless sandbox_execution_status is passed.,malware,byte_histogram_logistic,d973ce2f1261b81483b3cf6ccf561e64d4d1a1281da5b3610aba4df2deeddb66,append_overlay,malware,2,detector_stable
True,append_eval/cards/append_overlay/d9799f21bd404804ef3a0d290eea5fe4601f12ac54f30c394dadc2ac88e47d4b.md,Validated PE-preserving transformation; full behavior preservation is not claimed unless sandbox_execution_status is passed.,malware,byte_histogram_logistic,d9799f21bd404804ef3a0d290eea5fe4601f12ac54f30c394dadc2ac88e47d4b,append_overlay,malware,2,detector_stable
True,append_eval/cards/append_overlay/d97a3377871b205bd78231f119702fc5dd83490a663d16f0c003a05b1be94c59.md,Validated PE-preserving transformation; full behavior preservation is not claimed unless sandbox_execution_status is passed.,malware,byte_histogram_logistic,d97a3377871b205bd78231f119702fc5dd83490a663d16f0c003a05b1be94c59,append_overlay,malware,2,detector_stable
True,append_eval/cards/append_overlay/d97f66250f34e9315cbb061542671af4132e7af5f2f5e3fa12e1e1e002d84ac4.md,Validated PE-preserving transformation; full behavior preservation is not claimed unless sandbox_execution_status is passed.,malware,byte_histogram_logistic,d97f66250f34e9315cbb061542671af4132e7af5f2f5e3fa12e1e1e002d84ac4,append_overlay,malware,2,detector_stable
True,append_eval/cards/append_overlay/d98250f099a7225e77ca348b686e15261520204be505d69c34f3d2df32c0c866.md,Validated PE-preserving transformation; full behavior preservation is not claimed unless sandbox_execution_status is passed.,malware,byte_histogram_logistic,d98250f099a7225e77ca348b686e15261520204be505d69c34f3d2df32c0c866,append_overlay,malware,2,detector_stable
True,append_eval/cards/append_overlay/d98a458e7f416f38fa776b23fcd781737dad861bc16e5436de72a6537cfc9d39.md,Validated PE-preserving transformation; full behavior preservation is not claimed unless sandbox_execution_status is passed.,malware,byte_histogram_logistic,d98a458e7f416f38fa776b23fcd781737dad861bc16e5436de72a6537cfc9d39,append_overlay,malware,2,detector_stable
True,append_eval/cards/append_overlay/d98d636cc4a35f8edf2933c128ab663e331f19caa5130c7917d6e263560efe35.md,Validated PE-preserving transformation; full behavior preservation is not claimed unless sandbox_execution_status is passed.,malware,byte_histogram_logistic,d98d636cc4a35f8edf2933c128ab663e331f19caa5130c7917d6e263560efe35,append_overlay,malware,2,detector_stable
True,append_eval/cards/append_overlay/d9927fe092ccf71305cfb5b97b7306e78597af99b9313f5a855f569c491dcc25.md,Validated PE-preserving transformation; full behavior preservation is not claimed unless sandbox_execution_status is passed.,malware,byte_histogram_logistic,d9927fe092ccf71305cfb5b97b7306e78597af99b9313f5a855f569c491dcc25,append_overlay,malware,2,detector_stable
True,append_eval/cards/append_overlay/d99d7293a93d4397b4def9e003618ec9fb4749e16d5078404367f4e6a3f37edf.md,Validated PE-preserving transformation; full behavior preservation is not claimed unless sandbox_execution_status is passed.,malware,byte_histogram_logistic,d99d7293a93d4397b4def9e003618ec9fb4749e16d5078404367f4e6a3f37edf,append_overlay,malware,2,detector_stable
